round,date_practiced,mode,asof,setup,ticker,andy_verdict,andy_reason,tags,claude_pred,claude_reason,close0,dist_52wh_pct,days_since_52wh,atr_from_sma50,ema21_atr_dist,rs_line_pctl_21,range5_pct,fwd5,fwd10,fwd20,mae20,mfe20,tf
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,IBP,看,"50下待太久,需再等",需盘整,看,高点陈旧,297.08,-12.8,43,0.13,1.25,86,9.6,1.7,-2.5,-29.7,-31.9,5.6,输
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,CP,看,"多头排列,再缩就是VCP;可看可买","偏买,等收缩",看,太温吞→非买+高点陈旧,85.03,-4.5,47,1.4,0.67,38,5.7,2.0,1.7,5.5,-0.5,7.1,赢
r003,2026-08-21,blind,2026-02-26,fresh_high_pullback,D,否,"首次冲高回落,需盘整",刚回落,看,太温吞→非买,62.06,-4.8,8,1.74,-0.02,48,6.0,0.5,0.3,-2.8,-5.3,1.2,输
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,HWM,买,"21/50刚聚拢,偏可以买一点点(轻仓)",轻仓,看,形不齐,249.77,-5.7,26,1.35,1.37,90,8.8,1.6,-3.6,2.6,-5.4,3.2,输
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,FIGS,看,"高ATR首上21,盘整不够",不够盘整,否,形不齐,14.64,-14.5,26,1.44,0.21,24,16.3,5.1,5.7,-1.0,-4.6,12.8,赢
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,USFD,买,"21/50上长期盘整后首踩冲上50,跌不下去,能到2R",盘整充分,否,太温吞→非买+高点陈旧,93.69,-8.1,44,0.48,0.97,14,5.3,-0.5,-0.7,-12.1,-12.1,0.0,输
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,BGC,买,长波段后首踩21+undercut rally,undercut收复,否,太温吞→非买,11.27,-4.4,14,2.87,0.66,14,7.4,1.2,-1.4,-3.6,-9.9,1.2,输
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,GEV,看,"回前高有点难,震荡再看",,看,形不齐,1045.1,-9.0,10,2.23,0.05,38,8.1,4.3,-0.2,-10.7,-10.7,4.3,输
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,BURL,看,"近前高但未多头排列,冲上会被砸;等多头排列",等多头排列,看,形不齐,336.6,-3.2,39,1.24,1.12,86,9.4,-1.3,-5.9,2.6,-7.2,2.6,输
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,HP,买,"多头排列+21上高位盘整未冲新高,这是我想看的图","高位盘整,教科书",买,undercut收复,34.74,-3.2,23,1.37,0.45,90,7.2,1.9,6.6,1.1,-3.2,6.6,平
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,AG,否,"高位跌太快,21未收稳,绝对不买",砸太快,否,21下方未收复,25.79,-19.3,5,1.49,-0.33,52,26.0,-12.7,-29.3,-17.2,-29.3,3.4,输
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,MO,看,"刚冲高回落到前高,等21内盘整才买",等盘整,看,太温吞→非买,68.02,-7.4,4,1.4,0.25,43,8.1,4.9,6.8,4.6,-1.3,7.2,赢
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,RRC,否,"破21踩50,更弱势,需盘整",跌破21,否,21下方未收复,41.6,-12.5,14,0.12,-0.73,10,7.9,1.6,2.2,1.8,-2.9,4.3,平
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,WHD,否,21/50非多头排列,未多头排列,买,首次回踩,52.55,-10.1,40,0.46,0.78,48,5.3,7.8,4.0,8.1,-0.3,9.8,赢
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,HXL,看,"回落到21,若能盘整可再冲,还没拐头",等拐头,看,形不齐,88.25,-6.5,4,1.62,-0.24,62,9.7,-10.7,-11.0,-10.2,-13.0,0.0,输
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,FORM,看,"6.6ATR踩着21,未见站稳迹象,偏看偏不买",未站稳,否,形不齐,91.03,-14.0,9,1.7,0.04,19,17.2,4.0,15.9,29.4,-2.9,29.4,赢
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,BKR,看,"踩21有拐头征兆,偏看偏买;更贴21肯定买",等更近,看,形不齐,62.72,-3.2,27,1.43,1.13,67,7.0,-4.9,-1.0,5.9,-6.3,10.3,输
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,NP,否,"前20天震荡大,非多头排列","不紧,未多头排列",看,形不齐,27.56,-10.2,24,0.55,0.68,43,11.9,7.8,14.3,11.6,-0.4,23.6,赢
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,AVA,看,"低ATR,跌不下去(不会超1.5ATR)但能否冲难定",温吞,否,太温吞→非买+高点陈旧,40.49,-3.8,57,0.69,0.12,10,3.6,0.4,1.1,4.8,-1.4,4.8,赢
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,STAA,否,21上没支撑,21无支撑,否,21下方未收复,28.37,-14.9,14,0.42,-0.78,14,7.7,-0.0,1.1,0.5,-6.4,10.0,赢
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,GNRC,看,快踩50又站回21但不够收敛;收敛可考虑,等收敛,买,undercut收复,270.1,-5.3,8,1.68,0.5,57,14.2,1.6,8.4,-16.1,-16.7,9.4,输
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,ECG,买,"多头排列迅速站上,能量很强,可考虑买",能量强,买,undercut收复,155.95,-7.8,27,1.33,0.82,90,15.7,0.3,6.4,-11.2,-14.5,6.4,输
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,WLK,否,"21上无有效支撑,不想买",21无支撑,否,21下方未收复,111.94,-8.7,8,0.86,-0.51,5,9.9,-1.7,2.1,-21.3,-21.3,2.7,输
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,CB,否,"盘整挺好但1.7ATR太温吞,不想买",太温吞,否,太温吞→非买,329.8,-3.2,33,0.37,0.53,5,2.4,-1.4,-1.4,-2.0,-4.5,0.6,输
r004,2026-08-21,blind,2026-04-08,fresh_high_pullback,KMI,否,21EMA变成阻力,21阻力,否,未多头排列,32.36,-3.3,8,0.63,-0.36,5,5.4,-3.8,-3.5,-3.3,-6.1,0.0,输
r004,2026-08-21,blind,2026-04-08,fresh_high_pullback,PAA,否,"三踩21EMA第三次要下去,无上攻",三踩要破,否,未多头排列,20.96,-3.6,8,1.44,-0.2,24,5.1,-0.7,-2.3,4.0,-3.5,6.3,赢
r004,2026-08-21,blind,2026-04-07,fresh_high_pullback,TER,看,"能去前高但要回踩21最好,不够紧",等回踩,看,形好但SPY水域off,320.36,-6.5,28,1.22,0.89,90,13.4,14.1,18.6,11.4,-4.4,30.5,赢
r004,2026-08-21,blind,2026-04-08,fresh_high_pullback,EQNR,否,"SPY刚上穿50它却在跌,相对大盘弱",相对弱,否,不够紧(5日幅>3×ATR),38.56,-7.2,6,3.51,0.26,33,14.8,-6.4,-3.5,-3.3,-9.8,5.2,输
r004,2026-08-21,blind,2026-05-04,fresh_high_pullback,PFS,否,"多头排列但50平缓+低ATR,上冲能量不足",50平缓,否,未多头排列,21.8,-5.5,59,1.21,-0.04,5,5.5,-0.7,-1.3,1.1,-2.5,1.9,平
r004,2026-08-21,blind,2026-06-16,fresh_high_pullback,POR,看,"即将交叉+变窄,信能到2R,等排列后好进",等排列,否,未多头排列,50.25,-6.3,47,0.35,0.7,71,2.5,2.5,2.4,5.1,-1.9,5.6,赢
r004,2026-08-21,blind,2026-03-16,fresh_high_pullback,KOS,看,"破高失败+21undercut但不够紧,10%ATR难做","不紧,高波动",看,形不齐,2.32,-9.7,9,2.66,0.58,62,27.2,15.9,27.6,7.8,0.0,33.6,赢
r004,2026-08-21,blind,2026-07-20,fresh_high_pullback,CVBF,看,低ATR首次试顶,试顶,看,形不齐,22.47,-3.6,2,2.85,0.55,71,5.0,0.1,1.7,3.0,-1.0,3.5,平
r004,2026-08-21,blind,2026-04-14,fresh_high_pullback,LQDA,否,"排列刚开始,冲过21未回踩,有向下需求",需回踩,看,形不齐,38.71,-17.0,48,0.84,0.61,43,8.3,-6.4,-2.7,46.2,-6.4,46.2,赢
r004,2026-08-21,blind,2026-04-07,fresh_high_pullback,CIB,看,"冲过21但非排列,还要震",看或不买,否,未多头排列,71.93,-12.0,46,0.22,1.18,90,7.0,5.9,0.1,-10.0,-10.8,5.9,输
r004,2026-08-21,blind,2026-06-16,fresh_high_pullback,HUBB,看,"比10更有突破性但离21有1.27ATR,刚突破不够紧",不紧,否,未多头排列,502.65,-9.6,37,0.08,1.27,100,10.0,3.1,-2.5,-4.1,-5.1,7.3,赢
r004,2026-08-21,blind,2026-06-16,fresh_high_pullback,NVT,看,"回踩21进行中,可看可买稍positive",偏买,看,形不齐,167.12,-5.1,9,1.52,0.29,62,12.7,0.1,-4.4,-8.2,-9.1,10.2,赢
r004,2026-08-21,blind,2026-05-04,fresh_high_pullback,SBLK,看,"离21远,动能不足,需回踩",等回踩,看,形不齐,24.83,-4.4,44,1.8,1.09,67,6.2,5.7,4.2,8.3,0.0,11.5,赢
r004,2026-08-21,blind,2026-04-14,fresh_high_pullback,VLY,否,"离均线很远,不够紧",离21远,否,未多头排列,13.0,-3.6,45,1.4,1.48,52,3.8,2.3,4.0,0.5,-0.1,5.1,平
r004,2026-08-21,blind,2026-07-20,fresh_high_pullback,ANRO,否,踩高失败回踩21方向朝下,方向下,看,形不齐,25.9,-7.7,14,1.22,0.02,48,12.3,7.6,5.3,29.7,0.0,29.7,赢
r004,2026-08-21,blind,2026-03-16,fresh_high_pullback,FDX,否,21EMA破了,跌破21,否,未多头排列,282.86,-8.9,16,0.82,-1.15,5,5.6,1.0,-3.0,5.0,-3.0,7.0,赢
r004,2026-08-21,blind,2026-04-14,fresh_high_pullback,AS,看,"同10/11,不够紧",不紧,否,未多头排列,36.3,-13.5,36,0.3,1.17,95,9.4,-0.4,-4.1,-7.5,-7.5,2.5,输
r004,2026-08-21,blind,2026-03-16,fresh_high_pullback,ATI,否,跌破21EMA,跌破21,否,未多头排列,147.48,-11.4,10,1.42,-0.45,29,15.4,-0.7,-8.1,10.5,-8.1,11.1,输
r004,2026-08-21,blind,2026-04-07,fresh_high_pullback,CYTK,否,还要回踩21;止损1.5ATR难说,需回踩,否,未多头排列,65.48,-6.6,29,0.67,0.68,81,7.5,1.3,0.5,17.7,-9.0,17.7,输
r004,2026-08-21,blind,2026-06-16,fresh_high_pullback,LGN,买,"28天前高点后盘整,21/50收敛在一起=越来越紧",21/50收敛,看,形不齐,85.43,-16.5,28,0.51,0.01,52,11.0,-6.6,-6.4,-19.1,-20.0,3.2,输
r004,2026-08-21,blind,2026-04-08,fresh_high_pullback,KRYS,否,未多头排列,未排列,否,未多头排列,264.22,-9.5,58,0.0,0.65,71,7.4,1.6,4.4,9.4,-2.2,9.4,赢
r004,2026-08-21,blind,2026-04-08,fresh_high_pullback,CALY,否,同21,未排列,否,未多头排列,14.46,-8.5,52,0.82,1.1,95,9.3,-3.7,5.3,2.2,-3.7,6.7,平
r004,2026-08-21,blind,2026-04-07,fresh_high_pullback,PCVX,看,"离均线远但RS线新高,会摸新高;2R难说,前两天会买","RS新高,时机迟",看,形不齐,60.69,-3.7,28,1.55,1.4,100,8.3,3.4,-0.2,-8.3,-8.3,3.4,输
r004,2026-08-21,blind,2026-04-07,fresh_high_pullback,AEIS,看,"动能起但未回踩21,可看可买",偏买,看,形好但SPY水域off,339.22,-4.8,9,1.63,0.86,90,12.0,13.7,13.5,1.9,0.0,14.7,赢
r004,2026-08-21,blind,2026-04-07,fresh_high_pullback,FRO,否,慢慢下跌不够紧,不紧,看,形不齐,33.52,-8.9,25,1.79,0.61,71,9.3,-2.3,1.1,8.9,-2.3,8.9,平
r004,2026-08-21,blind,2026-04-14,fresh_high_pullback,CSCO,否,低ATR与大盘走得近,贴大盘,看,形不齐,82.3,-4.3,44,1.43,1.06,33,4.3,8.6,5.1,20.2,-0.3,20.2,赢
r004,2026-08-21,blind,2026-04-07,fresh_high_pullback,GERN,否,冲快但21/50才刚交叉,刚交叉,否,不够紧(5日幅>3×ATR),1.74,-10.8,29,1.32,1.28,95,23.6,1.7,-13.8,-5.2,-13.8,1.7,输
r004,2026-08-21,blind,2026-07-20,fresh_high_pullback,MOG-A,否,21下,21下,否,未多头排列,395.68,-7.0,14,1.41,-0.16,29,9.7,5.4,-0.0,12.6,-1.5,12.6,赢
r004,2026-08-21,blind,2026-07-20,fresh_high_pullback,LINE,否,方向朝下再拐头,方向下,否,未多头排列,43.22,-3.1,1,0.95,-0.07,48,4.6,-1.6,-3.1,-5.6,-6.0,2.6,输
r004,2026-08-21,blind,2026-06-16,fresh_high_pullback,NTAP,否,"离均线远,仍有下降趋势",离21远,看,形不齐,160.77,-10.9,9,4.31,0.91,48,6.0,-3.5,-3.0,-0.7,-5.5,8.6,平
r004,2026-08-21,blind,2026-03-16,fresh_high_pullback,EPRT,否,21下,21下,否,未多头排列,32.33,-4.6,10,2.02,-0.25,52,3.8,-5.2,-6.8,-1.2,-8.0,0.3,输
r004,2026-08-21,blind,2026-04-14,fresh_high_pullback,EBC,否,未排列,未排列,否,未多头排列,20.52,-5.3,44,1.15,1.38,43,3.1,-1.4,-2.6,-5.7,-5.7,1.8,输
r004,2026-08-21,blind,2026-04-14,fresh_high_pullback,FANG,否,排列但价在21下,21下,否,未多头排列,184.47,-7.8,12,0.92,-0.4,5,9.1,1.8,7.3,6.2,-3.3,14.6,赢
r004,2026-08-21,blind,2026-03-16,fresh_high_pullback,EGP,否,21下且弱,21下,否,未多头排列,186.95,-3.2,11,0.7,-0.08,81,3.3,-3.2,-3.4,3.6,-3.7,3.6,输
r004,2026-08-21,blind,2026-03-16,fresh_high_pullback,OMC,否,21下,21下,否,未多头排列,77.89,-7.3,8,0.48,-0.28,38,8.4,-3.9,-4.3,-2.8,-6.2,0.0,输
r004,2026-08-21,blind,2026-04-08,fresh_high_pullback,MIRM,否,"未排列+离21远,虽强",未排列,否,未多头排列,97.95,-9.8,29,0.44,1.24,90,7.3,-1.6,-3.7,12.4,-6.6,12.4,输
r004,2026-08-21,blind,2026-04-08,fresh_high_pullback,OKE,否,方向下+21下,21下,否,未多头排列,84.73,-7.7,7,0.46,-0.61,24,8.3,-3.1,-0.8,-0.2,-3.8,6.6,平
r004,2026-08-21,blind,2026-07-20,fresh_high_pullback,ERAS,否,"60天大V,顶住需盘整要时间",V后需盘,看,形不齐,18.82,-16.2,59,3.2,0.76,81,18.4,0.3,-5.2,-2.9,-5.8,3.7,平
r004,2026-08-21,blind,2026-07-20,fresh_high_pullback,YPF,看,"有点紧但未特别紧,1ATR离21,未完全排列",半紧,否,未多头排列,50.44,-10.5,25,0.81,1.01,100,4.5,0.9,1.2,4.5,-3.5,4.5,平
r004,2026-08-21,blind,2026-03-16,fresh_high_pullback,VNOM,看,"强,偏看",偏看,看,形不齐,43.57,-4.5,10,2.79,0.79,95,5.1,5.4,4.0,0.4,-0.2,7.1,赢
r004,2026-08-21,blind,2026-04-08,fresh_high_pullback,SEI,看,"ADR大现在做不了,离21远",高波动,看,形不齐,60.93,-11.0,14,1.31,0.8,57,17.5,8.2,8.4,26.9,-0.0,26.9,赢
r004,2026-08-21,blind,2026-04-14,fresh_high_pullback,VNOM,否,21下,21下,否,未多头排列,43.72,-6.3,16,0.09,-0.62,5,4.6,4.3,6.2,6.7,0.0,13.1,赢
r004,2026-08-21,blind,2026-04-07,fresh_high_pullback,HSBC,否,"未排列,RS强但不紧,离EMA远",不紧,否,未多头排列,84.27,-7.4,27,0.51,1.19,95,6.5,7.3,6.4,2.6,0.0,8.2,赢
r004,2026-08-21,blind,2026-06-16,fresh_high_pullback,AMBQ,否,冲高要回落,要回落,看,形不齐,82.05,-4.0,1,4.01,0.93,62,18.8,-1.1,7.7,-9.3,-9.3,10.3,平
r004,2026-08-21,blind,2026-06-16,fresh_high_pullback,ETR,看,"排列没有发声,可看可不买",未发声,否,未多头排列,111.72,-4.2,29,0.08,0.8,67,3.5,2.0,0.4,2.2,-1.4,3.5,平
r004,2026-08-21,blind,2026-04-14,fresh_high_pullback,FLS,否,方向下未排列,方向下,否,未多头排列,81.4,-11.0,33,0.3,0.9,81,5.5,0.5,4.2,-15.0,-15.0,7.7,输
r004,2026-08-21,blind,2026-06-16,fresh_high_pullback,ELVN,看,"强,要收敛一点,可看可不买",等收敛,否,未多头排列,42.55,-11.6,41,0.28,0.86,90,27.4,12.3,14.6,19.5,0.0,24.9,赢
r004,2026-08-21,blind,2026-03-16,fresh_high_pullback,NVMI,看,"开始变窄未爆发,可看可买偏买多些",偏买强,否,未多头排列,437.75,-12.0,31,0.04,0.09,86,6.7,7.6,-5.6,17.7,-5.6,17.7,赢
r004,2026-08-21,blind,2026-07-20,fresh_high_pullback,ALMS,否,"方向朝下未确认踩21,偏不买",未确认,看,形不齐,27.98,-7.7,7,2.16,0.56,76,12.2,-3.2,-6.6,-8.9,-12.8,7.4,输
r004,2026-08-21,blind,2026-07-20,fresh_high_pullback,EVRG,否,"慢,21上未踩稳",未踩稳,否,未多头排列,85.16,-3.4,11,0.83,-0.24,29,3.8,0.8,-2.3,-1.4,-3.7,2.4,输
