round,date_practiced,mode,asof,setup,ticker,andy_verdict,andy_reason,tags,claude_pred,claude_reason,close0,dist_52wh_pct,days_since_52wh,atr_from_sma50,ema21_atr_dist,rs_line_pctl_21,range5_pct,fwd5,fwd10,fwd20,mae20,mfe20
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,APG,看,反转结构未多头排列,未多头排列,看,形不齐,43.81,-3.3,39,0.78,1.34,100,8.8,2.4,10.7,5.7,0.0,12.8
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,WDFC,看,21处停顿;重回21上则买,等确认,看,形不齐,234.2,-6.6,20,1.84,-0.17,52,6.1,-4.8,-9.5,-10.9,-14.9,0.0
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,HWM,看,"首踩21,高点6天前,盘整可冲","首踩,等盘整",看,形不齐,253.68,-4.2,6,3.05,0.63,67,6.8,-5.4,-5.7,-1.5,-12.2,0.0
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,BLBD,否,"RS低,图不够紧,不做","RS弱,不紧",看,形不齐,61.76,-4.9,3,1.63,0.9,38,10.8,5.3,1.8,16.4,-0.5,17.3
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,CF,否,"高ATR两次冲顶后首踩,倾向不买",双顶,看,形不齐,125.0,-8.3,6,2.01,0.11,29,23.0,-4.2,-2.9,-5.1,-10.7,1.5
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,CNI,否,直接跌破21EMA,跌破21,否,太温吞→非买+21下方未收复,105.54,-5.5,4,1.53,-0.41,48,6.9,-1.0,-7.3,-1.0,-7.3,1.1
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,PCVX,买,考虑买,形好,看,形不齐,59.29,-5.9,7,1.95,0.4,76,10.8,-7.9,-7.7,0.9,-10.3,0.9
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,CYTK,否,"非多头排列,破50又拉回",未多头排列,买,undercut收复,64.2,-8.4,10,0.11,0.22,57,7.9,-3.2,-6.5,2.4,-6.5,3.9
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,AME,否,"50/21缠绕,难判方向",缠绕,看,太温吞→非买,230.45,-4.4,27,0.25,0.67,76,5.3,1.6,5.0,1.3,0.0,5.0
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,CMI,看,看看,,买,undercut收复,679.71,-4.8,21,1.1,0.68,71,8.5,2.8,4.9,-2.0,-2.9,7.0
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,WELL,看,偏看或偏买;RS线高但不是我做的票,"RS高,非风格",看,太温吞→非买,206.23,-3.3,15,2.75,0.68,90,5.5,2.6,-5.3,-1.5,-6.1,2.6
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,HSY,否,直接跌破21,跌破21,否,太温吞→非买+21下方未收复,215.63,-7.3,7,2.19,-0.74,19,8.9,-0.6,-1.7,-4.6,-7.4,0.5
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,CECO,否,非多头排列+前期暴跌,未多头排列,看,高点陈旧,65.27,-17.5,43,0.62,0.91,43,7.0,-0.6,13.8,23.9,-5.8,34.5
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,NVCR,否,"乱,不够tight,高波动易被扫",不紧,买,undercut收复,13.04,-13.0,7,0.22,0.28,67,16.0,-7.5,-9.4,-19.1,-20.6,0.0
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,Q,看,沿10日线走未踩21;觉得会新高,沿10日线,看,形不齐,143.52,-3.9,1,3.1,0.99,57,8.9,14.3,6.4,-1.0,-1.0,17.3
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,RGA,否,温和ATR+非多头排列,"温吞,未多头排列",看,太温吞→非买+高点陈旧,210.39,-5.8,41,0.4,0.99,67,6.5,-1.7,-2.0,1.6,-3.0,1.6
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,AME,看,"多头排列但破21,50首踩;-1ATR不会破,+2ATR也许",21/50之间盘整,否,太温吞→非买+21下方未收复,225.6,-6.3,6,0.48,-0.66,19,8.6,-4.6,-4.0,2.0,-7.8,2.0
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,PRAX,否,"刚破50/21拉回,需再盘",刚破需盘,否,高点陈旧,333.28,-4.1,50,0.75,0.24,24,12.9,3.7,5.2,-23.8,-23.8,7.2
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,LIN,看,"首踩21,回高难说,非我想买",首踩,看,太温吞→非买,481.59,-4.8,4,2.45,-0.19,62,6.3,2.2,1.0,3.4,-1.4,4.0
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,WEC,否,"非多头排列,票慢",未多头排列,看,太温吞→非买+高点陈旧,113.01,-3.2,46,0.39,0.78,67,4.0,0.1,2.4,-0.9,-1.6,4.3
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,NOVT,否,"太震荡不紧凑,不在多头趋势",不紧,看,高点陈旧,136.28,-6.9,57,1.64,1.08,67,15.0,14.3,13.6,14.7,0.0,23.7
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,ALX,否,"高点后马上下砸,20天回高难",砸太快,否,21下方未收复,224.17,-7.4,20,0.08,-0.37,57,5.5,4.4,3.1,-1.7,-1.9,6.0
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,PSMT,否,跌破21需盘整,跌破21,否,21下方未收复,147.04,-6.2,6,0.83,-0.52,14,10.8,1.5,0.6,6.2,-4.7,6.2
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,CRGY,看,"首踩21,多头趋势但没上冲劲",没劲,看,形不齐,12.53,-6.8,7,2.16,0.03,38,13.9,-4.4,-1.1,2.6,-7.5,9.0
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,IBP,看,"50下待太久,需再等",需盘整,看,高点陈旧,297.08,-12.8,43,0.13,1.25,86,9.6,1.7,-2.5,-29.7,-31.9,5.6
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,CP,看,"多头排列,再缩就是VCP;可看可买","偏买,等收缩",看,太温吞→非买+高点陈旧,85.03,-4.5,47,1.4,0.67,38,5.7,2.0,1.7,5.5,-0.5,7.1
r003,2026-08-21,blind,2026-02-26,fresh_high_pullback,D,否,"首次冲高回落,需盘整",刚回落,看,太温吞→非买,62.06,-4.8,8,1.74,-0.02,48,6.0,0.5,0.3,-2.8,-5.3,1.2
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,HWM,买,"21/50刚聚拢,偏可以买一点点(轻仓)",轻仓,看,形不齐,249.77,-5.7,26,1.35,1.37,90,8.8,1.6,-3.6,2.6,-5.4,3.2
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,FIGS,看,"高ATR首上21,盘整不够",不够盘整,否,形不齐,14.64,-14.5,26,1.44,0.21,24,16.3,5.1,5.7,-1.0,-4.6,12.8
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,USFD,买,"21/50上长期盘整后首踩冲上50,跌不下去,能到2R",盘整充分,否,太温吞→非买+高点陈旧,93.69,-8.1,44,0.48,0.97,14,5.3,-0.5,-0.7,-12.1,-12.1,0.0
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,BGC,买,长波段后首踩21+undercut rally,undercut收复,否,太温吞→非买,11.27,-4.4,14,2.87,0.66,14,7.4,1.2,-1.4,-3.6,-9.9,1.2
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,GEV,看,"回前高有点难,震荡再看",,看,形不齐,1045.1,-9.0,10,2.23,0.05,38,8.1,4.3,-0.2,-10.7,-10.7,4.3
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,BURL,看,"近前高但未多头排列,冲上会被砸;等多头排列",等多头排列,看,形不齐,336.6,-3.2,39,1.24,1.12,86,9.4,-1.3,-5.9,2.6,-7.2,2.6
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,HP,买,"多头排列+21上高位盘整未冲新高,这是我想看的图","高位盘整,教科书",买,undercut收复,34.74,-3.2,23,1.37,0.45,90,7.2,1.9,6.6,1.1,-3.2,6.6
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,AG,否,"高位跌太快,21未收稳,绝对不买",砸太快,否,21下方未收复,25.79,-19.3,5,1.49,-0.33,52,26.0,-12.7,-29.3,-17.2,-29.3,3.4
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,MO,看,"刚冲高回落到前高,等21内盘整才买",等盘整,看,太温吞→非买,68.02,-7.4,4,1.4,0.25,43,8.1,4.9,6.8,4.6,-1.3,7.2
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,RRC,否,"破21踩50,更弱势,需盘整",跌破21,否,21下方未收复,41.6,-12.5,14,0.12,-0.73,10,7.9,1.6,2.2,1.8,-2.9,4.3
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,WHD,否,21/50非多头排列,未多头排列,买,首次回踩,52.55,-10.1,40,0.46,0.78,48,5.3,7.8,4.0,8.1,-0.3,9.8
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,HXL,看,"回落到21,若能盘整可再冲,还没拐头",等拐头,看,形不齐,88.25,-6.5,4,1.62,-0.24,62,9.7,-10.7,-11.0,-10.2,-13.0,0.0
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,FORM,看,"6.6ATR踩着21,未见站稳迹象,偏看偏不买",未站稳,否,形不齐,91.03,-14.0,9,1.7,0.04,19,17.2,4.0,15.9,29.4,-2.9,29.4
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,BKR,看,"踩21有拐头征兆,偏看偏买;更贴21肯定买",等更近,看,形不齐,62.72,-3.2,27,1.43,1.13,67,7.0,-4.9,-1.0,5.9,-6.3,10.3
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,NP,否,"前20天震荡大,非多头排列","不紧,未多头排列",看,形不齐,27.56,-10.2,24,0.55,0.68,43,11.9,7.8,14.3,11.6,-0.4,23.6
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,AVA,看,"低ATR,跌不下去(不会超1.5ATR)但能否冲难定",温吞,否,太温吞→非买+高点陈旧,40.49,-3.8,57,0.69,0.12,10,3.6,0.4,1.1,4.8,-1.4,4.8
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,STAA,否,21上没支撑,21无支撑,否,21下方未收复,28.37,-14.9,14,0.42,-0.78,14,7.7,-0.0,1.1,0.5,-6.4,10.0
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,GNRC,看,快踩50又站回21但不够收敛;收敛可考虑,等收敛,买,undercut收复,270.1,-5.3,8,1.68,0.5,57,14.2,1.6,8.4,-16.1,-16.7,9.4
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,ECG,买,"多头排列迅速站上,能量很强,可考虑买",能量强,买,undercut收复,155.95,-7.8,27,1.33,0.82,90,15.7,0.3,6.4,-11.2,-14.5,6.4
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,WLK,否,"21上无有效支撑,不想买",21无支撑,否,21下方未收复,111.94,-8.7,8,0.86,-0.51,5,9.9,-1.7,2.1,-21.3,-21.3,2.7
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,CB,否,"盘整挺好但1.7ATR太温吞,不想买",太温吞,否,太温吞→非买,329.8,-3.2,33,0.37,0.53,5,2.4,-1.4,-1.4,-2.0,-4.5,0.6
